Membership No  Date Joined  Active  
    39087      2019-8-16    no    
    71503      2015-1-13    no    
    55041      2020-5-20    no    
    97646      2015-11-5    no    
    35904      2016-1-6     no    
    16571      2020-10-2    no    
    85332      2019-9-12    no    
    28695      2017-10-4    no    
    31750      2018-6-8     no    
    19728      2016-11-11   no    
    10760      2016-5-16    no    
    67118      2018-5-9     no    
    78623      2019-4-6     no    
    69465      2019-6-19    no    
